logFC,AveExpr,target,P.Value,adj.P.Val,B,label
-1.592161211,2.017074253,-5.534656464,5.92E-07,0.000889128,4.89305273,TEK
-1.285414051,1.377140081,-5.524742945,6.16E-07,0.000889128,4.855218788,STX11
-1.740240169,6.131638498,-5.50770235,6.58E-07,0.000911614,4.790242554,GPX3
-1.302933783,0.838623971,-5.480161642,7.32E-07,0.000911614,4.685384294,CD300LG
-1.873338147,1.082749727,-5.479488268,7.34E-07,0.000911614,4.682822916,DEFA1
-1.958273966,2.871255691,-5.453149062,8.12E-07,0.000966102,4.582725512,CLDN5
-1.065884107,0.915847491,-5.39724655,1.01E-06,0.001153361,4.370878683,AGTR1
-1.196848576,1.016126853,-5.363808311,1.15E-06,0.001287399,4.244560294,LGI3
-1.355782449,1.378817214,-5.295935755,1.49E-06,0.00158224,3.989103273,CCBE1
-1.170908052,0.960418368,-5.282436206,1.57E-06,0.001589733,3.938447612,CXCR2
2.218941852,4.492054929,5.277994849,1.59E-06,0.001589733,3.921793184,CP
-1.558657878,1.822810433,-5.276965853,1.60E-06,0.001589733,3.917935406,ENTREP1
-1.706438435,2.075537716,-5.260709855,1.70E-06,0.001664298,3.857030647,IGSF10
-2.187413268,2.571760101,-5.243421116,1.82E-06,0.001749575,3.792339971,TNNC1
-1.354317692,0.658996822,-5.231586489,1.90E-06,0.001801716,3.748107305,DEFA3
-1.71288558,1.863467566,-5.172203068,2.38E-06,0.002125377,3.526779723,GPIHBP1
-1.719689666,2.094191487,-5.166797768,2.43E-06,0.002137979,3.506685804,FIBIN
-1.42831645,1.569144711,-5.155161843,2.54E-06,0.002161532,3.46345976,C14orf132
-2.130089816,2.458638628,-5.151051068,2.58E-06,0.002161532,3.448198528,FXYD1
-1.114599105,1.712794072,-5.123642835,2.86E-06,0.002227181,3.346577225,SULT1C4
-1.431300839,1.138945258,-5.113878882,2.97E-06,0.002253169,3.310431169,S100A3
-1.902199093,1.748771072,-5.091875141,3.23E-06,0.002388699,3.229081811,VEGFD
-1.896159088,3.225411183,-5.087612384,3.28E-06,0.002398184,3.213339545,CDH5
-1.059831034,1.437814669,-5.076829204,3.42E-06,0.002467982,3.173542936,RASIP1
-1.188330679,1.252902061,-5.049291765,3.79E-06,0.002647527,3.072079268,SOX17
-2.403310897,2.491776979,-5.048862981,3.80E-06,0.002647527,3.070501287,TMEM100
-1.574300269,3.611229436,-5.038829245,3.94E-06,0.002663293,3.033592597,RRAS
-1.638687587,1.573196012,-5.032132528,4.04E-06,0.002663293,3.00897694,SOX7
-1.486297708,2.435002689,-5.025807424,4.14E-06,0.002663293,2.985740496,SVEP1
-1.810622807,2.386867229,-5.023877727,4.17E-06,0.002663293,2.978653961,MME
-1.489052071,4.248072284,-5.018957737,4.25E-06,0.002666536,2.960591451,ABI3BP
-1.077269464,0.773562043,-5.013029182,4.34E-06,0.002667099,2.938836657,FGFBP2
-1.517445309,2.295838709,-5.012508995,4.35E-06,0.002667099,2.936928377,CRTAC1
-2.297373462,3.567276173,-4.997045374,4.61E-06,0.002790895,2.880241088,CLEC3B
-2.104981265,4.979387003,-4.993502335,4.67E-06,0.002790895,2.867263832,MFAP4
-1.785745887,2.081115153,-4.982979003,4.86E-06,0.002835973,2.828743797,UPK3B
-1.102059214,1.009180025,-4.959764448,5.30E-06,0.002978638,2.743897435,ST8SIA6
-1.466963564,1.182024437,-4.947253838,5.56E-06,0.00303676,2.698246912,LINC01290
-1.037675444,1.065945711,-4.939322085,5.72E-06,0.003072628,2.669331496,HSPB2
-1.050041532,1.336127437,-4.92836375,5.96E-06,0.003118009,2.629417377,SCUBE1
-1.301643837,1.232245961,-4.892264134,6.82E-06,0.00348359,2.49821772,GDF10
